Date,Open,High,Low,Close,Adj Close,Volume
20-11-23,"₹ 43,591.50","₹ 43,724.00","₹ 43,450.05","₹ 43,584.95","₹ 43,584.95",124300
21-11-23,"₹ 43,790.95","₹ 43,790.95","₹ 43,586.45","₹ 43,689.15","₹ 43,689.15",108200
22-11-23,"₹ 43,663.60","₹ 43,692.50","₹ 43,230.95","₹ 43,449.60","₹ 43,449.60",150900
23-11-23,"₹ 43,452.75","₹ 43,649.65","₹ 43,451.35","₹ 43,577.50","₹ 43,577.50",72300
24-11-23,"₹ 43,607.35","₹ 43,806.50","₹ 43,566.15","₹ 43,769.10","₹ 43,769.10",96800
28-11-23,"₹ 43,851.55","₹ 43,960.30","₹ 43,739.80","₹ 43,880.95","₹ 43,880.95",151200
29-11-23,"₹ 44,081.75","₹ 44,630.35","₹ 44,003.45","₹ 44,566.45","₹ 44,566.45",152300
30-11-23,"₹ 44,711.20","₹ 44,764.80","₹ 44,254.60","₹ 44,481.75","₹ 44,481.75",343200
01-12-23,"₹ 44,580.15","₹ 44,951.10","₹ 44,531.75","₹ 44,814.20","₹ 44,814.20",204900
04-12-23,"₹ 45,671.50","₹ 46,484.45","₹ 45,484.20","₹ 46,431.40","₹ 46,431.40",311200
05-12-23,"₹ 46,895.90","₹ 47,230.55","₹ 46,653.65","₹ 47,012.25","₹ 47,012.25",326100
06-12-23,"₹ 47,256.75","₹ 47,259.85","₹ 46,750.20","₹ 46,834.55","₹ 46,834.55",244200
07-12-23,"₹ 46,735.40","₹ 46,927.70","₹ 46,507.15","₹ 46,841.40","₹ 46,841.40",208100
08-12-23,"₹ 46,797.20","₹ 47,303.65","₹ 46,793.90","₹ 47,262.00","₹ 47,262.00",218300
11-12-23,"₹ 47,233.30","₹ 47,588.00","₹ 47,186.60","₹ 47,314.25","₹ 47,314.25",182500
12-12-23,"₹ 47,421.70","₹ 47,454.00","₹ 47,004.05","₹ 47,097.55","₹ 47,097.55",182000
13-12-23,"₹ 47,190.75","₹ 47,201.95","₹ 46,886.90","₹ 47,092.25","₹ 47,092.25",202300
14-12-23,"₹ 47,567.65","₹ 47,943.60","₹ 47,510.85","₹ 47,732.30","₹ 47,732.30",193100
15-12-23,"₹ 47,939.90","₹ 48,219.95","₹ 47,632.85","₹ 48,143.55","₹ 48,143.55",313900
18-12-23,"₹ 48,068.50","₹ 48,076.60","₹ 47,806.70","₹ 47,867.70","₹ 47,867.70",157300
19-12-23,"₹ 47,940.40","₹ 48,017.00","₹ 47,646.05","₹ 47,870.90","₹ 47,870.90",189800
20-12-23,"₹ 48,085.35","₹ 48,166.15","₹ 47,202.65","₹ 47,445.30","₹ 47,445.30",242500
21-12-23,"₹ 47,172.45","₹ 47,932.40","₹ 46,919.70","₹ 47,840.15","₹ 47,840.15",208000
22-12-23,"₹ 47,837.75","₹ 48,071.40","₹ 47,415.85","₹ 47,491.85","₹ 47,491.85",165800
